"","Year","Month","Day","air_temp_5m","rain"
"466",1993,1,22,NA,NA
"467",1994,1,22,-30.7166666666667,NA
"468",1995,1,22,-15.6916666666667,NA
"469",1996,1,22,-17.275,NA
"470",1997,1,22,-25.725,NA
"471",1998,1,22,-35.275,NA
"472",1999,1,22,-12.875,0
"473",2000,1,22,-12.9333333333333,0.254
"474",2001,1,22,-7.6875,NA
"475",2002,1,22,-34.4083333333333,0
"476",2003,1,22,-21.9416666666667,0
"477",2004,1,22,-26.904347826087,NA
"478",2005,1,22,-7.61666666666667,0
"479",2006,1,22,-32.8208333333333,NA
"480",2007,1,22,-28.2208333333333,0
"481",2008,1,22,-3.225,0.18
"482",2009,1,22,-9.84083333333333,2.94
"483",2010,1,22,-22.7141666666667,NA
"484",2011,1,22,-39.3691666666667,NA
"485",2012,1,22,-39.7525,NA
"486",2013,1,22,-14.6058333333333,NA
"487",2014,1,22,-6.357,0
"488",2015,1,22,-28.44625,0.3
"489",2016,1,22,-38.5475,0
"490",2017,1,22,-33.77,NA
"491",2018,1,22,-35.69125,0
"492",2019,1,22,-18.2079166666667,0.5
"493",2020,1,22,-19.9375,0.5
"494",2021,1,22,-1.969375,0
"495",2022,1,22,-4.97525,0
"496",1989,1,23,-38.5708333333333,NA
"497",1990,1,23,-36.7791666666667,NA
"498",1992,1,23,-28.9041666666667,NA
"499",1993,1,23,NA,NA
"500",1994,1,23,-20.2125,NA
"501",1995,1,23,-20.225,NA
"502",1996,1,23,-21.6833333333333,NA
"503",1997,1,23,-28.4,NA
"504",1998,1,23,-35.2416666666667,NA
"505",1999,1,23,-7.0875,0
"506",2000,1,23,-7.575,0.762
"507",2001,1,23,-13.6083333333333,NA
"508",2002,1,23,-39.6958333333333,0
"509",2003,1,23,-27.0625,0
"510",2004,1,23,-27.4521739130435,NA
"511",2005,1,23,-11.3833333333333,0
"512",2006,1,23,-24.8625,NA
"513",2007,1,23,-30.35,0.18
"514",2008,1,23,-21.6458333333333,2.37
"515",2009,1,23,-7.560375,0.5
"516",2010,1,23,-9.869875,NA
"517",2011,1,23,-37.7629166666667,NA
"518",2012,1,23,-39.76375,NA
"519",2013,1,23,-35.4329166666667,NA
"520",2014,1,23,-6.16516666666667,0
"521",2015,1,23,-31.7229166666667,0
"522",2016,1,23,-32.8704166666667,0
"523",2017,1,23,-32.27,NA
"524",2018,1,23,-36.6383333333333,0
"525",2019,1,23,-6.60016666666667,0
"526",2020,1,23,-25.2166666666667,0
"527",2021,1,23,-12.7640833333333,0
"528",2022,1,23,-5.64354166666667,0
"529",1989,1,24,-45.8375,NA
"530",1990,1,24,-24.8958333333333,NA
"531",1992,1,24,-20.8625,NA
"532",1993,1,24,NA,NA
"533",1994,1,24,-17.4583333333333,NA
"534",1995,1,24,-24.8625,NA
"535",1996,1,24,-23.5083333333333,NA
"536",1997,1,24,-19.1416666666667,NA
"537",1998,1,24,-38.2333333333333,NA
"538",1999,1,24,-17.6,0
"539",2000,1,24,-4.72083333333333,0
"540",2001,1,24,-12.675,NA
"541",2002,1,24,-39.1833333333333,0
"542",2003,1,24,-11.6041666666667,0
"543",2004,1,24,-18.9260869565217,NA
"544",2005,1,24,-23.4666666666667,0
"545",2006,1,24,-27.0625,NA
"546",2007,1,24,-30.5291666666667,1.62
"547",2008,1,24,-28.8458333333333,0.06
"548",2009,1,24,-10.9608333333333,1.24
"549",2010,1,24,-7.15741666666667,NA
"550",2011,1,24,-34.8383333333333,NA
"551",2012,1,24,-39.765,NA
"552",2013,1,24,-37.09375,NA
"553",2014,1,24,-1.29379166666667,0.3
"554",2015,1,24,-34.17625,0
"555",2016,1,24,-7.5945,0.2
"556",2017,1,24,-17.11875,NA
"557",2018,1,24,-35.1541666666667,0.1
"558",2019,1,24,-7.881,0
"559",2020,1,24,-27.3166666666667,0
"560",2021,1,24,-17.5183333333333,0.2
"561",2022,1,24,-0.652,0
"562",1989,1,25,-49.8916666666667,NA
"563",1990,1,25,-31.4041666666667,NA
"564",1992,1,25,-26.0958333333333,NA
"565",1993,1,25,NA,NA
"566",1994,1,25,-18.3833333333333,NA
"567",1995,1,25,-28.6541666666667,NA
"568",1996,1,25,-26.8416666666667,NA
"569",1997,1,25,-27.7375,NA
"570",1998,1,25,-40.5416666666667,NA
"571",1999,1,25,-31.3458333333333,0
"572",2000,1,25,-9.51666666666667,0
"573",2001,1,25,-6.99583333333333,NA
"574",2002,1,25,-32.8833333333333,0
"575",2003,1,25,-20.2583333333333,0
"576",2004,1,25,-16.204347826087,NA
"577",2005,1,25,-21.5125,0
"578",2006,1,25,-32.8583333333333,NA
"579",2007,1,25,-29.625,0.03
"580",2008,1,25,-36.4958333333333,0
"581",2009,1,25,-16.1795833333333,2.16
"582",2010,1,25,-7.69358333333333,NA
"583",2011,1,25,-22.9029166666667,NA
"584",2012,1,25,-39.66625,NA
"585",2013,1,25,-32.6808333333333,NA
"586",2014,1,25,-1.923625,0
"587",2015,1,25,-34.805,0
"588",2016,1,25,-7.16695833333333,0
"589",2017,1,25,-8.674875,NA
"590",2018,1,25,-36.3283333333333,0
"591",2019,1,25,-12.8795833333333,0.3
"592",2020,1,25,-33.2291666666667,0
"593",2021,1,25,-18.4829166666667,0.1
"594",2022,1,25,-14.0677916666667,0
"595",1989,1,26,-55.5458333333333,NA
"596",1990,1,26,-33.6791666666667,NA
"597",1992,1,26,-33.0375,NA
"598",1993,1,26,NA,NA
"599",1994,1,26,-23.2416666666667,NA
"600",1995,1,26,-35.4083333333333,NA
"601",1996,1,26,-22.8416666666667,NA
"602",1997,1,26,-29.1333333333333,NA
"603",1998,1,26,-30.9625,NA
"604",1999,1,26,-31.0708333333333,0
"605",2000,1,26,-10.0583333333333,0
"606",2001,1,26,-7.55416666666667,NA
"607",2002,1,26,-22.4875,0
"608",2003,1,26,-10.8,0
"609",2004,1,26,-16.1565217391304,NA
"610",2005,1,26,-25.7666666666667,0
"611",2006,1,26,-36.9625,NA
"612",2007,1,26,-10.125,0.98
"613",2008,1,26,-25.9666666666667,0
"614",2009,1,26,-25.93875,0.15
"615",2010,1,26,-16.0558333333333,NA
"616",2011,1,26,-22.4616666666667,NA
"617",2012,1,26,-39.0679166666667,NA
"618",2013,1,26,-33.7691666666667,NA
"619",2014,1,26,1.64929166666667,0
"620",2015,1,26,-26.7858333333333,0.3
"621",2016,1,26,-6.19616666666667,0
"622",2017,1,26,-6.15545833333333,NA
"623",2018,1,26,-35.2704166666667,0
"624",2019,1,26,-7.51379166666667,1.3
"625",2020,1,26,-35.6541666666667,0
"626",2021,1,26,-21.2566666666667,0
"627",2022,1,26,-29.3345833333333,0
"628",1989,1,27,-49.975,NA
"629",1990,1,27,-40.4625,NA
"630",1992,1,27,-39.2333333333333,NA
"631",1993,1,27,NA,NA
"632",1994,1,27,-28.5541666666667,NA
"633",1995,1,27,-37.6666666666667,NA
"634",1996,1,27,-12.5166666666667,NA
"635",1997,1,27,-19.9958333333333,NA
"636",1998,1,27,-26.125,NA
"637",1999,1,27,-35.0833333333333,0
"638",2000,1,27,-11.2541666666667,0
"639",2001,1,27,-9.525,NA
"640",2002,1,27,-24.8458333333333,0
"641",2003,1,27,-10.5916666666667,0.254
"642",2004,1,27,-17.5478260869565,NA
"643",2005,1,27,-31.7833333333333,0
"644",2006,1,27,-32.85,NA
"645",2007,1,27,-5.55416666666667,0.42
"646",2008,1,27,-24.4416666666667,0
"647",2009,1,27,-32.05125,0.45
"648",2010,1,27,-24.51875,NA
"649",2011,1,27,-18.53625,NA
"650",2012,1,27,-39.0308333333333,NA
"651",2013,1,27,-32.08625,NA
"652",2014,1,27,-1.580875,0
"653",2015,1,27,-26.0554166666667,0.1
"654",2016,1,27,-7.814625,0
"655",2017,1,27,-6.88225,NA
"656",2018,1,27,-28.9454166666667,0
"657",2019,1,27,-2.50370833333333,0
"658",2020,1,27,-39.3291666666667,0
"659",2021,1,27,-23.4545833333333,0
"660",2022,1,27,-35.22375,0
"661",1989,1,28,-44.5166666666667,NA
"662",1990,1,28,-37.7791666666667,NA
"663",1992,1,28,-38.6958333333333,NA
"664",1993,1,28,NA,NA
"665",1994,1,28,-22.475,NA
"666",1995,1,28,-38.4125,NA
"667",1996,1,28,-6.425,NA
"668",1997,1,28,-29.475,NA
"669",1998,1,28,-26.6416666666667,NA
"670",1999,1,28,-32.9375,0.254
"671",2000,1,28,-14.6125,0
"672",2001,1,28,-10.925,NA
"673",2002,1,28,-26.1875,0
"674",2003,1,28,-19.3833333333333,0
